Sample name;x;y;z;r;rNumbers
stems2;-1.70112;1.28688;11.707;0.8;10
stems3;-1.60469;1.27877;11.5198;0.8;1
stems3;-1.75396;1.23404;11.4952;0.8;1
stems3;-1.55089;1.27596;11.2707;0.8;1
stems3;-1.74561;1.10887;11.1479;0.8;1
stems3;-1.50335;1.23516;11.0476;0.8;1
stems3;-1.66023;1.14359;10.9362;0.8;1
stems3;-1.38507;1.21218;10.704;0.8;1
stems3;-1.66609;1.05563;10.6216;0.8;1
stems3;-1.34345;1.19741;10.4297;0.8;1
stems3;-1.58552;1.071;10.3436;0.8;1
stems3;-1.33706;1.17763;10.175;0.8;1
stems3;-1.5572;1.00749;10.1353;0.8;1
stems3;-1.22322;1.13712;9.89936;0.8;1
stems3;-1.46683;0.994894;9.75596;0.8;1
stems3;-1.17862;1.17915;9.69127;0.8;1
stems3;-1.34877;1.09572;9.62559;0.8;1
stems3;-1.0434;1.08406;9.32485;0.8;1
stems3;-1.23983;1.07306;9.30042;0.8;1
stems3;-0.980531;1.03371;9.0727;0.8;1
stems3;-1.24033;0.946915;9.08379;0.8;1
stems3;-0.796299;0.965493;8.77498;0.8;1
stems3;-1.03079;1.02219;8.72716;0.8;1
stems3;-0.806056;0.986291;8.61323;0.8;1
stems3;-0.970207;0.973576;8.5568;0.8;1
stems3;-0.744702;0.956386;8.45297;0.8;1
stems3;-0.960699;0.914119;8.33216;0.8;1
stems3;-0.669885;0.898343;8.21685;0.8;1
stems3;-0.85483;0.91264;8.1474;0.8;1
stems3;-0.645839;0.877823;8.05392;0.8;1
stems3;-0.820893;0.894713;8.00047;0.8;1
stems3;-0.559327;0.890488;7.87114;0.8;1
stems3;-0.783706;0.896715;7.80067;0.8;1
stems3;-0.501188;0.853386;7.68057;0.8;1
stems3;-0.67203;0.852622;7.62646;0.8;1
stems3;-0.433011;0.75501;7.48812;0.8;1
stems3;-0.668632;0.825594;7.42966;0.8;1
stems3;-0.420829;0.760738;7.24889;0.8;1
stems3;-0.669365;0.825409;7.1891;0.8;1
stems3;-0.323261;0.702813;7.0766;0.8;1
stems3;-0.562346;0.799447;7.03978;0.8;1
stems3;-0.219415;0.641484;6.69283;0.8;1
stems3;-0.530191;0.733249;6.61911;0.8;1
stems3;-0.224269;0.681771;6.50713;0.8;1
stems3;-0.480725;0.704036;6.41968;0.8;1
stems3;-0.11947;0.648989;6.22806;0.8;1
stems3;-0.454119;0.707789;6.18137;0.8;1
stems3;0.0341655;0.463357;5.97837;0.8;1
stems3;-0.333807;0.747209;6.04211;0.8;1
roots;1.59033;-2.75572;-0.0609425;0.7;18
roots;2.11401;-2.7012;0.0987605;0.7;18
roots;1.85922;-3.01078;0.10411;0.7;18
roots;2.42575;-3.24963;0.165306;0.7;18
roots;2.29228;-3.71993;0.138074;0.7;18
roots;2.23575;-4.23021;0.215501;0.7;18
roots;1.92886;-4.66924;0.243806;0.7;18
roots;1.57681;-5.2162;0.227689;0.7;18
roots;1.12578;-5.6012;0.155369;0.7;18
roots;0.786235;-6.01097;0.172481;0.7;18
roots;0.477305;-6.22391;0.154662;0.7;18
roots;0.178764;-6.5181;0.11256;0.7;18
roots;-0.342095;-6.74523;0.0985263;0.7;18
roots;-0.644283;-7.04973;0.0771725;0.7;18
roots;-0.971966;-7.34835;0.00251367;0.7;18
roots;-1.55219;-7.18724;-0.101299;0.7;18
roots;-1.39749;-7.5225;-0.0451829;0.7;18
roots;-1.58919;-7.70066;-0.203727;0.7;18
roots;-2.25834;-8.1386;-0.619319;0.7;18
roots;-2.65908;-8.35745;-0.827918;0.7;18
roots;-1.89133;-7.89117;-0.360321;0.7;18
roots;2.63085;-4.22174;0.135658;0.7;18
roots;2.97978;-4.80833;0.147981;0.7;18
roots;3.29018;-5.13608;0.099208;0.7;18
roots;3.36793;-5.56087;0.149411;0.7;18
roots;-0.204098;-2.6706;-0.0984446;0.7;18
roots;-0.583502;-3.19686;0.230144;0.7;18
roots;-0.985445;-3.64875;0.173988;0.7;18
roots;-1.36536;-3.79787;0.21434;0.7;18
roots;-1.768;-4.0153;0.121154;0.7;18
roots;-1.9836;-4.15816;0.00760716;0.7;18
roots;-2.13343;-4.49349;0.186487;0.7;18
roots;-2.55096;-4.03029;0.0485386;0.7;18
roots;-2.92476;-3.86812;0.131823;0.7;18
roots;-3.22688;-3.91237;0.153619;0.7;18
roots;-3.43798;-4.21929;0.162576;0.7;18
roots;-1.19761;-1.66304;-0.0675227;0.7;18
roots;-2.09827;-1.31211;0.0135177;0.7;18
roots;-2.72273;-1.09477;0.146716;0.7;18
roots;-3.1245;-1.19848;0.137417;0.7;18
roots;-3.30946;-0.607428;0.121106;0.7;18
roots;-3.484;-0.264905;0.193565;0.7;18
roots;-2.40751;-0.317191;0.0902813;0.7;18
roots;-1.58749;-0.179539;-0.0301468;0.7;18
roots;-2.83153;0.448868;0.16516;0.7;18
roots;-3.08798;0.668194;0.182002;0.7;18
roots;-2.38771;0.715765;0.103295;0.7;18
roots;-1.37439;0.734134;0.0369042;0.7;18
roots;-1.34146;1.84755;-0.00638874;0.7;18
roots;-0.836017;1.4004;-0.084766;0.7;18
roots;0.130317;1.59682;0.00267583;0.7;18
roots;-0.0768449;2.15138;0.219342;0.7;18
roots;-0.255361;2.65147;0.26329;0.7;18
roots;-0.358557;2.99996;0.282576;0.7;18
roots;-0.374076;3.50279;0.321011;0.7;18
roots;-0.229296;3.90366;0.31971;0.7;18
roots;-0.0658731;4.36574;0.179799;0.7;18
roots;0.485982;4.69654;0.329073;0.7;18
roots;0.857747;5.23968;0.226902;0.7;18
roots;0.789589;5.72332;0.237034;0.7;18
roots;0.616983;6.13951;0.244518;0.7;18
roots;0.388571;6.45565;0.194055;0.7;18
roots;0.407245;1.72067;0.242034;0.7;18
roots;0.915044;2.04447;0.212164;0.7;18
roots;0.944459;2.50234;0.124899;0.7;18
roots;0.662984;2.80924;0.0879787;0.7;18
