Sample name;x;y;z;r;rNumbers
leaves2;2.83681;-0.58375;12.6101;0.4;22
leaves2;2.2373;0.11949;13.2614;0.4;22
leaves2;2.28585;0.210341;13.3005;0.4;22
leaves2;2.36543;0.315094;13.3598;0.4;22
leaves2;2.41829;0.392589;13.3752;0.4;22
leaves2;2.46794;0.461877;13.3566;0.4;22
leaves2;2.52701;0.545636;13.32;0.4;22
leaves2;2.5916;0.609568;13.2689;0.4;22
leaves2;2.63948;0.687232;13.1659;0.4;22
leaves2;2.68298;0.723808;13.0255;0.4;22
leaves2;2.00937;0.186552;13.0616;0.4;22
leaves2;1.90582;0.289828;13.1066;0.4;22
leaves2;1.77601;0.404457;13.1019;0.4;22
leaves2;1.60838;0.50923;13.012;0.4;22
leaves2;1.40911;0.68419;12.6252;0.4;22
leaves3;2.2456;0.0937367;12.7668;0.4;3
leaves3;2.29733;0.166405;12.7989;0.4;3
leaves3;2.39851;0.378634;12.844;0.4;3
leaves3;2.45669;0.477794;12.8274;0.4;3
leaves3;2.52525;0.570703;12.7796;0.4;3
leaves3;2.58723;0.656959;12.7167;0.4;3
leaves3;2.35823;0.268069;12.8285;0.4;3
leaves3;2.64454;0.754158;12.5201;0.4;3
leaves3;2.04867;-0.106881;12.8396;0.4;3
leaves3;1.84803;-0.298541;12.9695;0.4;3
leaves3;1.72114;-0.390928;12.9878;0.4;3
leaves3;1.35443;-0.535962;12.5852;0.4;3
leaves3;1.49073;-0.51798;12.8328;0.4;3
leaves3;1.60201;-0.466357;12.9311;0.4;3
leaves3;1.93262;-0.200946;12.9047;0.4;3
leaves3;2.48777;-0.305804;12.6226;0.4;3
leaves3;2.58498;-0.40586;12.6448;0.4;3
leaves3;2.6437;-0.501846;12.6048;0.4;3
leaves3;2.71677;-0.568685;12.5416;0.4;3
leaves3;2.73746;-0.592874;12.5003;0.4;3
leaves3;2.77199;-0.649991;12.4072;0.4;3
leaves3;2.83031;-0.70252;12.272;0.4;3
leaves3;2.86731;-0.757325;12.1386;0.4;3
leaves3;2.89339;-0.79618;12.0529;0.4;3
leaves3;2.91277;-0.823404;11.9828;0.4;3
leaves3;2.80097;-0.677201;12.3324;0.4;3
leaves3;1.87412;0.233452;12.5634;0.4;3
leaves3;1.79223;0.285988;12.5708;0.4;3
leaves3;1.67806;0.368207;12.5146;0.4;3
leaves3;1.52309;0.540568;12.2762;0.4;3
leaves3;1.58467;0.476024;12.4086;0.4;3
leaves3;1.46036;0.557666;12.1552;0.4;3
leaves3;1.44736;0.604756;12.015;0.4;3
leaves3;1.40232;0.644177;11.8613;0.4;3
leaves3;2.47728;0.383326;12.2914;0.4;3
leaves3;2.57783;0.508137;12.3133;0.4;3
leaves3;2.61308;0.540864;12.3181;0.4;3
leaves3;2.34849;0.202619;12.2411;0.4;3
leaves3;2.68863;0.645621;12.2919;0.4;3
leaves3;2.75683;0.732891;12.2372;0.4;3
leaves3;2.81629;0.830276;12.1496;0.4;3
leaves3;2.88671;0.91811;12.0585;0.4;3
leaves3;2.9047;0.995952;11.9634;0.4;3
leaves3;2.99176;1.07373;11.7971;0.4;3
leaves3;1.73913;-0.352415;12.3923;0.4;3
leaves3;2.01202;-0.106121;12.2471;0.4;3
leaves3;2.11453;-0.0586976;12.2034;0.4;3
leaves3;1.58466;-0.44967;12.4364;0.4;3
leaves3;1.42874;-0.566923;12.3795;0.4;3
leaves3;1.37681;-0.652881;12.3254;0.4;3
leaves3;1.16864;-0.787459;12.0697;0.4;3
leaves3;1.28452;-0.70525;12.2381;0.4;3
leaves3;1.1016;-0.853091;11.9438;0.4;3
leaves3;2.12893;0.104021;11.94;0.4;3
leaves3;1.86654;0.409982;12.0113;0.4;3
leaves3;1.81634;0.504783;12.0107;0.4;3
