"Document","Motif","Probability","Overlap Score","Precursor Mass","Retention Time","Document Annotation"
"document_3100","motif_90","0.017","0.465","572.2830","None","None"
"document_5078","motif_273","0.017","0.465","780.5594","None","None"
"document_1617","motif_345","0.019","0.465","472.3770","None","None"
"document_752","motif_425","0.024","0.465","415.3186","None","None"
"document_4207","motif_250","0.025","0.465","658.3565","None","None"
"document_173","motif_90","0.026","0.465","331.1897","None","None"
"document_1821","motif_157","0.026","0.465","481.3656","None","None"
"document_3814","motif_454","0.030","0.465","628.5114","None","None"
"document_1279","motif_93","0.035","0.465","453.3701","None","None"
"document_1713","motif_152","0.036","0.465","476.3745","None","None"
"document_2064","motif_152","0.038","0.465","496.3977","None","None"
"document_5279","motif_431","0.042","0.465","830.6140","None","None"
"document_2473","motif_431","0.046","0.465","523.2680","None","None"
"document_1084","motif_368","0.050","0.465","440.3656","None","None"
"document_2562","motif_458","0.050","0.465","531.2937","None","None"
"document_4841","motif_178","0.051","0.465","733.5905","None","None"
"document_947","motif_157","0.052","0.465","429.3703","None","None"
"document_2203","motif_169","0.057","0.465","504.4029","None","None"
"document_3327","motif_148","0.058","0.465","590.2957","None","None"
"document_1889","motif_169","0.064","0.465","485.4458","None","None"
"document_3188","motif_157","0.066","0.465","579.4724","None","None"
"document_1316","motif_206","0.071","0.465","455.3519","None","None"
"document_1171","motif_157","0.072","0.465","444.3519","None","None"
"document_1905","motif_169","0.093","0.465","486.4297","None","None"
"document_5461","motif_345","0.112","0.465","918.6920","None","None"
"document_3267","motif_458","0.115","0.465","585.2835","None","None"
"document_5527","motif_114","0.118","0.465","946.7240","None","None"
"document_5267","motif_230","0.131","0.465","828.5804","None","None"
"document_1297","motif_157","0.149","0.465","455.3496","None","None"
"document_3213","motif_465","0.177","0.465","581.3106","None","None"
"document_527","motif_264","0.188","0.465","397.2952","None","None"
"document_3749","motif_64","0.321","0.465","624.2780","None","None"
"document_801","motif_201","0.354","0.465","419.2203","None","None"
"document_361","motif_67","0.369","0.465","373.2000","None","None"
"document_3416","motif_26","0.404","0.465","598.2994","None","None"
"document_4967","motif_256","0.530","0.465","758.3369","None","None"
"document_4544","motif_358","0.534","0.465","690.3111","None","None"
"document_4028","motif_327","0.741","0.465","644.3448","None","None"
"document_320","motif_190","0.956","0.465","365.3038","None","None"
"document_3146","motif_343","0.011","0.466","575.4442","None","None"
"document_5378","motif_66","0.011","0.466","872.5350","None","None"
"document_2422","motif_152","0.012","0.466","520.3984","None","None"
"document_3421","motif_343","0.012","0.466","598.3936","None","None"
"document_4611","motif_230","0.012","0.466","698.5161","None","None"
"document_1963","motif_458","0.013","0.466","490.2792","None","None"
"document_2313","motif_132","0.013","0.466","514.2783","None","None"
"document_4919","motif_355","0.013","0.466","748.3184","None","None"
"document_1663","motif_169","0.014","0.466","473.4042","None","None"
"document_3203","motif_5","0.014","0.466","580.4746","None","None"
"document_3209","motif_343","0.014","0.466","581.2725","None","None"
"document_1703","motif_152","0.015","0.466","475.3791","None","None"
"document_2098","motif_160","0.015","0.466","499.3772","None","None"
"document_4253","motif_458","0.016","0.466","662.3295","None","None"
"document_3340","motif_5","0.019","0.466","591.4862","None","None"
"document_2423","motif_425","0.020","0.466","520.3984","None","None"
"document_2194","motif_152","0.026","0.466","504.3829","None","None"
"document_2744","motif_192","0.027","0.466","545.2858","None","None"
"document_2794","motif_283","0.028","0.466","548.3916","None","None"
"document_1841","motif_157","0.033","0.466","483.3794","None","None"
"document_4222","motif_315","0.036","0.466","658.5370","None","None"
"document_822","motif_365","0.037","0.466","421.3452","None","None"
"document_1433","motif_29","0.041","0.466","460.3790","None","None"
"document_2356","motif_114","0.046","0.466","516.4007","None","None"
"document_3528","motif_367","0.047","0.466","605.5293","None","None"
"document_869","motif_169","0.047","0.466","425.3436","None","None"
"document_2690","motif_131","0.055","0.466","539.4063","None","None"
"document_3241","motif_93","0.058","0.466","583.4118","None","None"
"document_3575","motif_305","0.060","0.466","609.4871","None","None"
"document_1190","motif_282","0.090","0.466","445.3660","None","None"
"document_5047","motif_116","0.090","0.466","774.5256","None","None"
"document_4484","motif_335","0.094","0.466","683.2937","None","None"
"document_616","motif_23","0.106","0.466","405.2735","None","None"
"document_2547","motif_129","0.108","0.466","530.3830","None","None"
"document_4785","motif_157","0.112","0.466","722.6009","None","None"
"document_2470","motif_458","0.138","0.466","523.2668","None","None"
"document_5133","motif_126","0.139","0.466","792.3329","None","None"
"document_4676","motif_20","0.171","0.466","706.0990","None","None"
"document_3512","motif_491","0.225","0.466","604.4552","None","None"
"document_1120","motif_369","0.226","0.466","441.3725","None","None"
"document_2494","motif_461","0.314","0.466","525.2842","None","None"
"document_3882","motif_92","0.349","0.466","634.3583","None","None"
"document_1821","motif_195","0.363","0.466","481.3656","None","None"
"document_1512","motif_256","0.432","0.466","465.2629","None","None"
"document_3622","motif_224","0.493","0.466","613.4947","None","None"
"document_4040","motif_109","0.519","0.466","644.5443","None","None"
"document_2858","motif_393","0.755","0.466","552.4205","None","None"
"document_5495","motif_109","0.983","0.466","934.6454","None","None"
"document_4333","motif_458","0.010","0.467","670.3073","None","None"
"document_2344","motif_266","0.011","0.467","515.4065","None","None"
"document_2748","motif_343","0.012","0.467","545.4338","None","None"
"document_3475","motif_262","0.012","0.467","601.4214","None","None"
"document_4405","motif_90","0.012","0.467","676.3105","None","None"
"document_1866","motif_5","0.013","0.467","484.4062","None","None"
"document_2098","motif_425","0.013","0.467","499.3772","None","None"
"document_2476","motif_283","0.013","0.467","523.3037","None","None"
"document_413","motif_190","0.013","0.467","380.3150","None","None"
"document_1521","motif_431","0.015","0.467","465.3717","None","None"
"document_3169","motif_157","0.015","0.467","577.4602","None","None"
"document_3379","motif_283","0.015","0.467","595.3227","None","None"
"document_3673","motif_152","0.015","0.467","616.4956","None","None"
"document_392","motif_18","0.015","0.467","376.3182","None","None"
"document_5608","motif_273","0.015","0.467","982.7466","None","None"
"document_3061","motif_157","0.017","0.467","568.4524","None","None"
"document_1678","motif_18","0.018","0.467","474.3917","None","None"
"document_5414","motif_458","0.020","0.467","894.6053","None","None"
"document_2212","motif_264","0.022","0.467","505.2939","None","None"
"document_4806","motif_241","0.023","0.467","728.3272","None","None"
"document_508","motif_292","0.024","0.467","393.3534","None","None"
"document_800","motif_148","0.024","0.467","419.2200","None","None"
"document_2751","motif_343","0.026","0.467","545.4390","None","None"
"document_1458","motif_165","0.031","0.467","461.3672","None","None"
"document_3082","motif_447","0.031","0.467","570.3062","None","None"
"document_5265","motif_431","0.036","0.467","826.5970","None","None"
"document_5608","motif_230","0.037","0.467","982.7466","None","None"
"document_2452","motif_157","0.040","0.467","522.3426","None","None"
"document_4179","motif_157","0.040","0.467","656.4893","None","None"
"document_610","motif_280","0.041","0.467","404.3717","None","None"
"document_5552","motif_315","0.046","0.467","961.7530","None","None"
"document_3944","motif_129","0.048","0.467","638.5312","None","None"
"document_1879","motif_77","0.051","0.467","485.3599","None","None"
"document_3156","motif_458","0.061","0.467","576.3515","None","None"
"document_853","motif_264","0.065","0.467","423.3651","None","None"
"document_3917","motif_425","0.069","0.467","636.5522","None","None"
"document_3944","motif_431","0.090","0.467","638.5312","None","None"
"document_2213","motif_425","0.110","0.467","505.3513","None","None"
"document_929","motif_196","0.137","0.467","427.3922","None","None"
"document_4329","motif_25","0.207","0.467","669.2907","None","None"
"document_4395","motif_129","0.247","0.467","674.5186","None","None"
"document_5352","motif_40","0.272","0.467","862.3639","None","None"
"document_4619","motif_254","0.723","0.467","699.3466","None","None"
"document_2620","motif_105","0.010","0.468","534.4119","None","None"
"document_3382","motif_431","0.010","0.468","595.4681","None","None"
"document_1183","motif_454","0.011","0.468","444.4747","None","None"
"document_2317","motif_152","0.011","0.468","514.3858","None","None"
"document_2843","motif_264","0.011","0.468","551.4215","None","None"
"document_5647","motif_152","0.011","0.468","998.7200","None","None"
"document_5210","motif_248","0.013","0.468","810.6046","None","None"
"document_5349","motif_315","0.013","0.468","860.6207","None","None"
"document_2616","motif_11","0.015","0.468","534.3894","None","None"
"document_4939","motif_342","0.016","0.468","750.6009","None","None"
"document_4125","motif_192","0.017","0.468","652.3467","None","None"
"document_2189","motif_175","0.018","0.468","504.3665","None","None"
"document_4159","motif_458","0.019","0.468","655.2653","None","None"
"document_5176","motif_319","0.021","0.468","802.6165","None","None"
"document_3198","motif_157","0.024","0.468","580.4577","None","None"
"document_4714","motif_295","0.024","0.468","712.3326","None","None"
"document_1318","motif_206","0.025","0.468","455.3531","None","None"
"document_2335","motif_35","0.026","0.468","515.3375","None","None"
"document_2727","motif_418","0.026","0.468","543.4082","None","None"
"document_2367","motif_242","0.027","0.468","517.2795","None","None"
"document_1380","motif_206","0.028","0.468","458.3680","None","None"
"document_3583","motif_422","0.028","0.468","610.3022","None","None"
"document_3500","motif_105","0.029","0.468","602.4401","None","None"
"document_4643","motif_458","0.029","0.468","702.3483","None","None"
"document_2088","motif_236","0.036","0.468","499.2675","None","None"
"document_5053","motif_105","0.047","0.468","774.6568","None","None"
"document_1096","motif_157","0.048","0.468","441.3349","None","None"
"document_5471","motif_157","0.049","0.468","920.6070","None","None"
"document_4294","motif_343","0.052","0.468","665.5240","None","None"
"document_3735","motif_157","0.072","0.468","622.4779","None","None"
"document_4728","motif_105","0.080","0.468","713.5290","None","None"
"document_4488","motif_157","0.090","0.468","683.5295","None","None"
"document_605","motif_315","0.092","0.468","404.2785","None","None"
"document_1287","motif_445","0.124","0.468","454.2566","None","None"
"document_2429","motif_213","0.124","0.468","520.4329","None","None"
"document_5067","motif_308","0.134","0.468","778.3060","None","None"
"document_5580","motif_52","0.219","0.468","968.7367","None","None"
"document_3107","motif_297","0.264","0.468","572.3211","None","None"
"document_2597","motif_477","0.269","0.468","532.3981","None","None"
"document_3629","motif_296","0.322","0.468","614.2968","None","None"
"document_4175","motif_432","0.338","0.468","656.3429","None","None"
"document_1374","motif_473","0.478","0.468","457.4006","None","None"
"document_5558","motif_324","0.491","0.468","962.7439","None","None"
"document_3594","motif_25","0.507","0.468","611.2826","None","None"
"document_4560","motif_358","0.624","0.468","692.3071","None","None"
"document_1350","motif_364","0.663","0.468","457.2944","None","None"
"document_1323","motif_1","0.849","0.468","455.3860","None","None"
"document_594","motif_302","0.943","0.468","403.1735","None","None"
"document_1079","motif_200","0.951","0.468","439.3903","None","None"
"document_4835","motif_486","0.990","0.468","732.5041","None","None"
"document_1346","motif_191","0.011","0.469","456.3850","None","None"
"document_2553","motif_298","0.011","0.469","530.4375","None","None"
"document_1457","motif_152","0.012","0.469","461.3644","None","None"
"document_4175","motif_157","0.012","0.469","656.3429","None","None"
"document_5410","motif_230","0.012","0.469","892.7322","None","None"
"document_5412","motif_230","0.012","0.469","892.7396","None","None"
"document_4523","motif_152","0.014","0.469","686.6062","None","None"
"document_784","motif_157","0.014","0.469","417.2258","None","None"
"document_2086","motif_18","0.015","0.469","498.4263","None","None"
"document_3987","motif_169","0.015","0.469","641.5214","None","None"
"document_1341","motif_278","0.016","0.469","456.3812","None","None"
"document_5023","motif_11","0.016","0.469","768.6129","None","None"
"document_1227","motif_79","0.018","0.469","447.2760","None","None"
"document_4253","motif_163","0.019","0.469","662.3295","None","None"
"document_5014","motif_485","0.021","0.469","766.3412","None","None"
"document_721","motif_221","0.021","0.469","413.2670","None","None"
"document_2728","motif_343","0.024","0.469","543.4211","None","None"
"document_2172","motif_283","0.025","0.469","503.2620","None","None"
"document_2042","motif_321","0.027","0.469","494.4185","None","None"
"document_1650","motif_455","0.029","0.469","473.3617","None","None"
"document_3409","motif_178","0.031","0.469","597.4674","None","None"
"document_1657","motif_152","0.033","0.469","473.3754","None","None"
"document_2936","motif_491","0.033","0.469","558.3423","None","None"
"document_867","motif_425","0.034","0.469","425.3395","None","None"
"document_1499","motif_157","0.040","0.469","464.3717","None","None"
"document_2070","motif_132","0.042","0.469","497.2527","None","None"
"document_3923","motif_283","0.042","0.469","637.4747","None","None"
"document_4347","motif_391","0.043","0.469","671.5630","None","None"
"document_4261","motif_129","0.044","0.469","662.4957","None","None"
"document_611","motif_280","0.044","0.469","404.3718","None","None"
"document_2482","motif_304","0.046","0.469","524.2264","None","None"
"document_952","motif_93","0.047","0.469","429.3709","None","None"
"document_290","motif_364","0.048","0.469","359.2212","None","None"
"document_1009","motif_310","0.052","0.469","433.3677","None","None"
"document_4212","motif_305","0.054","0.469","658.5035","None","None"
"document_1838","motif_105","0.058","0.469","483.3462","None","None"
"document_909","motif_342","0.068","0.469","427.3551","None","None"
"document_1553","motif_345","0.075","0.469","469.3627","None","None"
"document_429","motif_157","0.095","0.469","383.2564","None","None"
"document_4220","motif_129","0.106","0.469","658.5192","None","None"
"document_5361","motif_129","0.178","0.469","866.5287","None","None"
"document_4028","motif_256","0.184","0.469","644.3448","None","None"
"document_1678","motif_278","0.310","0.469","474.3917","None","None"
"document_3368","motif_132","0.349","0.469","594.3242","None","None"
"document_2772","motif_429","0.785","0.469","547.3621","None","None"
"document_325","motif_353","0.916","0.469","365.3401","None","None"
"document_1482","motif_283","0.011","0.470","463.2465","None","None"
"document_2505","motif_66","0.011","0.470","527.2276","None","None"
"document_3347","motif_491","0.011","0.470","592.3115","None","None"
"document_3433","motif_176","0.011","0.470","599.2837","None","None"
"document_3263","motif_5","0.012","0.470","584.5202","None","None"
"document_3527","motif_425","0.012","0.470","605.4752","None","None"
"document_3085","motif_343","0.013","0.470","570.4307","None","None"
"document_3203","motif_18","0.014","0.470","580.4746","None","None"
"document_518","motif_425","0.014","0.470","395.3855","None","None"
"document_757","motif_305","0.014","0.470","415.3531","None","None"
"document_3202","motif_18","0.015","0.470","580.4714","None","None"
"document_3954","motif_248","0.015","0.470","639.5125","None","None"
"document_131","motif_217","0.017","0.470","315.1945","None","None"
"document_1322","motif_425","0.018","0.470","455.3855","None","None"
"document_2398","motif_66","0.018","0.470","518.4192","None","None"
"document_4920","motif_25","0.018","0.470","748.3330","None","None"
"document_1949","motif_169","0.020","0.470","488.4080","None","None"
"document_3611","motif_105","0.020","0.470","612.4862","None","None"
"document_5104","motif_230","0.020","0.470","788.5623","None","None"
"document_5106","motif_230","0.020","0.470","788.5630","None","None"
"document_5308","motif_169","0.020","0.470","846.7320","None","None"
"document_3878","motif_408","0.021","0.470","634.3196","None","None"
"document_4023","motif_443","0.022","0.470","644.3205","None","None"
"document_929","motif_5","0.023","0.470","427.3922","None","None"
"document_1051","motif_39","0.025","0.470","438.3738","None","None"
"document_3280","motif_105","0.025","0.470","586.4416","None","None"
"document_412","motif_306","0.025","0.470","380.2791","None","None"
"document_4943","motif_154","0.027","0.470","752.3258","None","None"
"document_1721","motif_157","0.028","0.470","476.4059","None","None"
"document_1642","motif_455","0.029","0.470","473.3602","None","None"
"document_4002","motif_197","0.029","0.470","642.5162","None","None"
"document_4999","motif_64","0.031","0.470","764.3255","None","None"
"document_933","motif_128","0.046","0.470","428.3359","None","None"
"document_934","motif_128","0.046","0.470","428.3384","None","None"
"document_1069","motif_169","0.050","0.470","439.3563","None","None"
"document_4035","motif_454","0.051","0.470","644.5227","None","None"
"document_129","motif_264","0.052","0.470","315.1942","None","None"
"document_4564","motif_431","0.060","0.470","692.5433","None","None"
"document_4345","motif_305","0.065","0.470","671.4985","None","None"
"document_3150","motif_18","0.067","0.470","575.5004","None","None"
"document_2607","motif_206","0.073","0.470","533.3937","None","None"
"document_5418","motif_157","0.073","0.470","896.6617","None","None"
"document_2930","motif_284","0.079","0.470","558.3055","None","None"
"document_1739","motif_283","0.089","0.470","477.2260","None","None"
"document_2736","motif_157","0.097","0.470","544.3255","None","None"
"document_907","motif_345","0.103","0.470","427.3546","None","None"
"document_3516","motif_480","0.139","0.470","604.4978","None","None"
"document_759","motif_344","0.189","0.470","415.3552","None","None"
"document_1094","motif_295","0.196","0.470","441.2271","None","None"
"document_4332","motif_277","0.214","0.470","670.2918","None","None"
"document_4519","motif_230","0.266","0.470","686.5094","None","None"
"document_4910","motif_206","0.349","0.470","746.6259","None","None"
"document_4968","motif_256","0.573","0.470","758.3370","None","None"
"document_1500","motif_169","0.011","0.471","464.4051","None","None"
"document_2930","motif_79","0.011","0.471","558.3055","None","None"
"document_3743","motif_105","0.011","0.471","623.4683","None","None"
"document_891","motif_75","0.011","0.471","425.3771","None","None"
"document_2419","motif_105","0.012","0.471","520.3952","None","None"
"document_2753","motif_155","0.012","0.471","546.3066","None","None"
"document_4174","motif_250","0.012","0.471","656.3428","None","None"
"document_4914","motif_5","0.013","0.471","747.6302","None","None"
"document_319","motif_105","0.014","0.471","364.3523","None","None"
"document_2061","motif_248","0.015","0.471","496.3966","None","None"
"document_1498","motif_79","0.017","0.471","464.3024","None","None"
"document_5014","motif_377","0.017","0.471","766.3412","None","None"
"document_4214","motif_319","0.018","0.471","658.5075","None","None"
"document_1699","motif_18","0.020","0.471","475.3395","None","None"
"document_5036","motif_319","0.020","0.471","772.5105","None","None"
"document_2249","motif_305","0.021","0.471","508.3968","None","None"
"document_1379","motif_345","0.022","0.471","458.3653","None","None"
"document_3319","motif_197","0.023","0.471","589.4596","None","None"
"document_3917","motif_230","0.023","0.471","636.5522","None","None"
"document_1355","motif_264","0.024","0.471","457.3331","None","None"
"document_3804","motif_458","0.025","0.471","628.3099","None","None"
"document_3965","motif_152","0.025","0.471","640.5057","None","None"
"document_1882","motif_178","0.026","0.471","485.3959","None","None"
"document_3828","motif_284","0.026","0.471","630.2916","None","None"
"document_437","motif_365","0.026","0.471","383.3294","None","None"
"document_3283","motif_305","0.028","0.471","586.4814","None","None"
"document_879","motif_365","0.028","0.471","425.3759","None","None"
"document_3268","motif_157","0.031","0.471","585.2837","None","None"
"document_1968","motif_29","0.035","0.471","490.3853","None","None"
"document_1230","motif_280","0.036","0.471","447.3741","None","None"
"document_4907","motif_383","0.041","0.471","746.5330","None","None"
"document_2684","motif_39","0.044","0.471","539.2629","None","None"
"document_2511","motif_308","0.045","0.471","528.2586","None","None"
"document_1790","motif_280","0.046","0.471","479.3743","None","None"
"document_915","motif_365","0.046","0.471","427.3563","None","None"
"document_5652","motif_230","0.048","0.471","998.7833","None","None"
"document_1870","motif_157","0.051","0.471","484.4127","None","None"
"document_2247","motif_152","0.056","0.471","508.3633","None","None"
"document_1981","motif_11","0.059","0.471","490.3877","None","None"
"document_2585","motif_79","0.063","0.471","532.2902","None","None"
"document_4194","motif_476","0.064","0.471","657.3255","None","None"
"document_4502","motif_93","0.066","0.471","684.5741","None","None"
"document_1063","motif_191","0.072","0.471","439.3558","None","None"
"document_697","motif_169","0.073","0.471","411.3605","None","None"
"document_4877","motif_255","0.082","0.471","740.3833","None","None"
"document_3620","motif_157","0.091","0.471","613.4808","None","None"
"document_5105","motif_230","0.099","0.471","788.5627","None","None"
"document_980","motif_155","0.118","0.471","432.2725","None","None"
"document_1148","motif_149","0.135","0.471","443.2201","None","None"
"document_1115","motif_455","0.165","0.471","441.3719","None","None"
"document_1875","motif_283","0.183","0.471","485.2887","None","None"
"document_662","motif_454","0.204","0.471","409.3470","None","None"
"document_1724","motif_106","0.264","0.471","476.4066","None","None"
"document_1814","motif_472","0.304","0.471","481.2937","None","None"
"document_2918","motif_132","0.304","0.471","557.2727","None","None"
"document_3104","motif_476","0.411","0.471","572.2862","None","None"
"document_3816","motif_454","0.416","0.471","628.5280","None","None"
"document_2272","motif_304","0.511","0.471","510.2458","None","None"
"document_4630","motif_403","0.788","0.471","700.3376","None","None"
"document_1094","motif_283","0.011","0.472","441.2271","None","None"
"document_3981","motif_283","0.011","0.472","641.3295","None","None"
"document_2670","motif_454","0.012","0.472","537.4628","None","None"
"document_941","motif_476","0.013","0.472","429.2632","None","None"
"document_1715","motif_310","0.014","0.472","476.3769","None","None"
"document_1112","motif_169","0.015","0.472","441.3717","None","None"
"document_1457","motif_105","0.015","0.472","461.3644","None","None"
"document_2350","motif_435","0.015","0.472","516.3308","None","None"
"document_3381","motif_178","0.015","0.472","595.4355","None","None"
"document_963","motif_425","0.015","0.472","429.4081","None","None"
"document_530","motif_425","0.017","0.472","397.3080","None","None"
"document_5111","motif_84","0.018","0.472","788.6076","None","None"
"document_944","motif_310","0.018","0.472","429.3363","None","None"
"document_1467","motif_18","0.021","0.472","462.3909","None","None"
"document_4912","motif_292","0.022","0.472","747.6042","None","None"
"document_4138","motif_425","0.024","0.472","652.5760","None","None"
"document_948","motif_305","0.024","0.472","429.3706","None","None"
"document_4813","motif_224","0.025","0.472","728.6069","None","None"
"document_4171","motif_331","0.028","0.472","656.3078","None","None"
"document_2209","motif_280","0.029","0.472","504.4394","None","None"
"document_1898","motif_425","0.030","0.472","486.4025","None","None"
"document_676","motif_169","0.031","0.472","409.4387","None","None"
"document_2264","motif_310","0.034","0.472","509.3095","None","None"
"document_2915","motif_169","0.036","0.472","556.4686","None","None"
"document_4497","motif_397","0.039","0.472","684.5341","None","None"
"document_898","motif_342","0.044","0.472","425.4332","None","None"
"document_1162","motif_77","0.048","0.472","443.3861","None","None"
"document_2156","motif_178","0.054","0.472","502.4178","None","None"
"document_4539","motif_308","0.076","0.472","689.2988","None","None"
"document_2659","motif_476","0.077","0.472","537.2469","None","None"
"document_5333","motif_129","0.077","0.472","856.5391","None","None"
"document_1436","motif_152","0.090","0.472","460.4024","None","None"
"document_969","motif_130","0.096","0.472","431.2061","None","None"
"document_2263","motif_443","0.113","0.472","509.2523","None","None"
"document_284","motif_67","0.128","0.472","359.2202","None","None"
"document_538","motif_480","0.128","0.472","397.3452","None","None"
"document_1174","motif_128","0.137","0.472","444.3835","None","None"
"document_873","motif_418","0.154","0.472","425.3746","None","None"
"document_2838","motif_114","0.197","0.472","551.4101","None","None"
"document_4840","motif_345","0.206","0.472","733.5686","None","None"
"document_5507","motif_132","0.238","0.472","936.4709","None","None"
"document_963","motif_363","0.328","0.472","429.4081","None","None"
"document_5358","motif_273","0.407","0.472","864.5444","None","None"
"document_3034","motif_132","0.010","0.473","566.2977","None","None"
"document_1596","motif_91","0.011","0.473","471.3453","None","None"
"document_345","motif_255","0.011","0.473","371.1846","None","None"
"document_1667","motif_169","0.012","0.473","474.3609","None","None"
"document_3158","motif_93","0.012","0.473","576.4236","None","None"
"document_347","motif_310","0.012","0.473","371.2918","None","None"
"document_1912","motif_345","0.013","0.473","487.2680","None","None"
"document_1916","motif_458","0.013","0.473","487.3064","None","None"
"document_4137","motif_169","0.013","0.473","652.5510","None","None"
"document_3483","motif_343","0.014","0.473","601.4580","None","None"
"document_3600","motif_264","0.014","0.473","611.5015","None","None"
"document_3738","motif_418","0.014","0.473","622.4879","None","None"
"document_3100","motif_458","0.015","0.473","572.2830","None","None"
"document_5344","motif_105","0.015","0.473","858.5536","None","None"
"document_1082","motif_248","0.016","0.473","439.4016","None","None"
"document_2619","motif_11","0.016","0.473","534.4088","None","None"
"document_785","motif_283","0.016","0.473","417.2262","None","None"
"document_2307","motif_18","0.020","0.473","513.3568","None","None"
"document_3362","motif_343","0.020","0.473","593.4178","None","None"
"document_4094","motif_230","0.020","0.473","650.4395","None","None"
"document_3558","motif_176","0.023","0.473","608.3438","None","None"
"document_4495","motif_157","0.023","0.473","684.4486","None","None"
"document_3514","motif_157","0.028","0.473","604.4558","None","None"
"document_1680","motif_157","0.032","0.473","474.3921","None","None"
"document_1434","motif_33","0.033","0.473","460.3803","None","None"
"document_3015","motif_397","0.034","0.473","564.4235","None","None"
"document_5442","motif_452","0.035","0.473","908.7160","None","None"
"document_2412","motif_152","0.036","0.473","520.3501","None","None"
"document_4561","motif_491","0.036","0.473","692.3258","None","None"
"document_5106","motif_273","0.036","0.473","788.5630","None","None"
"document_2233","motif_157","0.037","0.473","506.3822","None","None"
"document_3663","motif_356","0.040","0.473","616.3142","None","None"
"document_3478","motif_348","0.042","0.473","601.4224","None","None"
"document_3479","motif_348","0.042","0.473","601.4227","None","None"
"document_2474","motif_431","0.043","0.473","523.2682","None","None"
"document_4473","motif_90","0.047","0.473","682.4280","None","None"
"document_4696","motif_315","0.049","0.473","708.6116","None","None"
"document_5535","motif_129","0.049","0.473","952.7408","None","None"
"document_3999","motif_185","0.061","0.473","642.5067","None","None"
"document_1537","motif_331","0.065","0.473","467.3860","None","None"
"document_1658","motif_157","0.066","0.473","473.3873","None","None"
"document_5237","motif_345","0.073","0.473","820.5574","None","None"
"document_4859","motif_78","0.102","0.473","736.3087","None","None"
"document_3626","motif_476","0.111","0.473","614.2965","None","None"
"document_663","motif_454","0.117","0.473","409.3786","None","None"
"document_2769","motif_443","0.126","0.473","547.2678","None","None"
"document_447","motif_157","0.151","0.473","383.3651","None","None"
"document_4897","motif_64","0.161","0.473","744.3205","None","None"
"document_3581","motif_295","0.271","0.473","610.2851","None","None"
"document_998","motif_203","0.318","0.473","433.2210","None","None"
"document_188","motif_235","0.322","0.473","334.2361","None","None"
"document_3235","motif_132","0.325","0.473","583.2676","None","None"
"document_3644","motif_454","0.638","0.473","614.5111","None","None"
"document_4805","motif_126","0.806","0.473","728.3107","None","None"
"document_1176","motif_193","0.010","0.474","444.3838","None","None"
"document_2643","motif_343","0.011","0.474","536.3568","None","None"
"document_411","motif_6","0.011","0.474","380.2784","None","None"
"document_4841","motif_206","0.013","0.474","733.5905","None","None"
"document_4318","motif_345","0.014","0.474","668.4161","None","None"
"document_713","motif_425","0.014","0.474","412.3672","None","None"
"document_1540","motif_292","0.015","0.474","467.3872","None","None"
"document_2127","motif_152","0.015","0.474","500.4657","None","None"
"document_1777","motif_178","0.017","0.474","478.4240","None","None"
"document_2565","motif_6","0.018","0.474","531.3073","None","None"
"document_2566","motif_6","0.018","0.474","531.3080","None","None"
"document_1595","motif_310","0.019","0.474","471.3450","None","None"
"document_3590","motif_343","0.021","0.474","610.4828","None","None"
"document_3860","motif_179","0.023","0.474","632.3429","None","None"
"document_662","motif_365","0.024","0.474","409.3470","None","None"
"document_2173","motif_345","0.025","0.474","503.2628","None","None"
"document_2749","motif_178","0.027","0.474","545.4353","None","None"
"document_3370","motif_476","0.027","0.474","594.3260","None","None"
"document_1082","motif_18","0.028","0.474","439.4016","None","None"
"document_944","motif_169","0.030","0.474","429.3363","None","None"
"document_3240","motif_256","0.031","0.474","583.4116","None","None"
"document_375","motif_19","0.031","0.474","374.3616","None","None"
"document_649","motif_178","0.034","0.474","408.3833","None","None"
"document_3002","motif_12","0.035","0.474","564.2788","None","None"
"document_4021","motif_410","0.035","0.474","644.3057","None","None"
"document_817","motif_192","0.037","0.474","421.2365","None","None"
"document_1033","motif_458","0.047","0.474","437.2326","None","None"
"document_1211","motif_342","0.050","0.474","446.3952","None","None"
"document_3099","motif_458","0.052","0.474","571.4507","None","None"
"document_3199","motif_169","0.055","0.474","580.4686","None","None"
"document_3435","motif_90","0.059","0.474","599.2840","None","None"
"document_4324","motif_224","0.061","0.474","668.5243","None","None"
"document_2408","motif_157","0.067","0.474","519.4188","None","None"
"document_4156","motif_305","0.076","0.474","654.5514","None","None"
"document_412","motif_19","0.082","0.474","380.2791","None","None"
"document_4079","motif_262","0.126","0.474","649.2989","None","None"
"document_1344","motif_114","0.130","0.474","456.3845","None","None"
"document_3840","motif_273","0.137","0.474","630.5087","None","None"
"document_423","motif_157","0.151","0.474","381.3525","None","None"
"document_3214","motif_428","0.162","0.474","581.3813","None","None"
"document_5367","motif_128","0.263","0.474","867.7189","None","None"
"document_2765","motif_129","0.406","0.474","546.4289","None","None"
"document_3770","motif_25","0.555","0.474","625.2998","None","None"
"document_2843","motif_306","0.627","0.474","551.4215","None","None"
"document_451","motif_103","0.690","0.474","384.3824","None","None"
"document_2545","motif_175","0.010","0.475","530.3779","None","None"
"document_1031","motif_465","0.011","0.475","437.2297","None","None"
"document_1750","motif_321","0.011","0.475","477.4116","None","None"
