CLUSTERID1	CLUSTERID2	DeltaMZ	MEH	Cosine	OtherScore	ComponentIndex
278	375	-17.0271	0	0.782107	0.487627	17
375	587	-28.0304	0	0.751184	0.533129	17
272	375	-18.0115	0	0.769228	0.465538	17
715	903	-14.0169	0	0.781544	0.516059	17
452	715	-28.0302	0	0.814294	0.489753	17
451	903	-42.0474	0	0.798709	0.50753	17
452	717	-28.0319	0	0.827945	0.611038	17
375	717	-38.053	0	0.745421	0.545484	17
375	715	-38.0513	0	0.751882	0.430037	17
331	587	-35.0358	0	0.730132	0.585513	17
451	556	-14.0176	0	0.804311	0.518259	17
451	452	-0.000274658	0	0.83964	0.558333	17
342	556	-28.0336	0	0.803425	0.447216	17
375	1091	-66.083	0	0.745041	0.401466	17
556	903	-28.0298	0	0.805928	0.590901	17
269	4269	-307.276	0	0.795534	0.436336	17
331	518	-28.0293	0	0.759759	0.496089	17
342	375	-3.99512	0	0.727816	0.469221	17
424	568	-18.0103	0	0.808685	0.570731	17
903	1091	-14.0148	0	0.784101	0.473204	17
342	903	-56.0633	0	0.746733	0.407577	17
342	717	-42.0481	0	0.798631	0.487407	17
272	452	-28.0326	0	0.815179	0.469263	17
269	449	-28.0327	0	0.842327	0.474535	17
272	451	-28.0323	0	0.786217	0.524567	17
342	452	-14.0162	0	0.826388	0.492902	17
331	451	-17.0262	0	0.798863	0.632723	17
331	452	-17.0265	0	0.809835	0.558516	17
342	451	-14.0159	0	0.78248	0.552943	17
269	272	-0.983765	0	0.758508	0.596731	17
251	449	-30.0479	0	0.766348	0.536777	17
272	717	-56.0645	0	0.777164	0.472868	17
269	327	-11.0053	0	0.737565	0.496027	17
451	1091	-56.0622	0	0.816022	0.410192	17
452	903	-42.0471	0	0.809475	0.561073	17
272	342	-14.0164	0	0.799928	0.623323	17
272	556	-42.05	0	0.804911	0.437277	17
715	717	-0.00170898	0	0.846926	0.496306	17
342	1092	-70.0795	0	0.755834	0.590772	17
251	269	-2.0152	0	0.760835	0.528744	17
331	568	-32.0254	0	0.77863	0.483277	17
375	556	-24.0385	0	0.771076	0.520549	17
452	556	-14.0174	0	0.846171	0.580277	17
717	903	-14.0152	0	0.815697	0.575855	17
556	1091	-42.0445	0	0.86009	0.484854	17
556	715	-14.0128	0	0.836564	0.527856	17
