839_63	CC1=CCCC(=C)C2C(CC1)/C(=C\C=C\C(=C)CO)/COC2=O
839_64	CC12C(CC=C3C2CC4C(C(C)C(O4)=O)C3=O)C5(C)C(C5)CC1
839_65	CC12C(CC(C(C3)=C2CC4C3=C(C)C(O4)=O)=O)C(C)(C)CCC1
839_66	CC1=C(CCc2ccoc2)C2(C)CCCC(C)(C)C2=C(C1=O)O
839_67	CC1=CC(=O)C2C(C)(C)CCCC2(C)C1/C=C/C1=CCOC1=O
839_68	CC12C(CCC(C3=O)=C2C4C(C(C)=CO4)C3=O)C(C)(C)CCC1
839_69	CC1CCC2(C)C(=CC=CC2C1(C)CCc1ccoc1)C(=O)O
839_70	CC12C(CCC(C2CC3O4)=CC3=C(C)C4=O)C(C)(C)C(CC1)=O
839_71	CC(C)c1c2CCC3C(C)(C=CC(=O)C3(C)CO)c2ccc1O
839_72	CC(C(CCC12C3CC(C(C2)=C)CC1=O)C3(C)C=C4O)(C)C4=O
839_73	CC1CCC2(C)C(=CC(=O)CC2C1(CCc1ccoc1)CO)C
839_74	C[C@@H]1CC[C@@]2(C)C(=CCC[C@@H]2[C@]1(C)CCc1ccoc1)C(=O)O
1028_1	CCCCCC=CCC=CCCCCCC=CC(CC(CO)O)=O
70_1	CC1(C)[C@@]2(OC(C)=O)[C@]1([H])[C@@](C=C(CO)C[C@@]3(O)[C@@]4([H])C=C(C)C3=O)([H])[C@]4(O)[C@H](C)C2
70_2	CC1CC(O)C\2(C)C(CC\C=C2C(O)=O)C1(C)CCC3=COC=C3
70_3	CC12C(CCC(C3=O)=C2CC4C3=C(C)C(O4)=O)C5(C)C(C5)CC1
70_4	CC12C(CC=C(C3=O)C2CC4C3=C(C)C(O4)=O)C5(C)C(C5)CC1
70_5	CC(C)c1c2CCC3C(C)(C=CC(=O)C3(C)CO)c2ccc1O
70_6	CC1=CCCC(=C)C2C(CC1)/C(=C\C=C\C(=C)CO)/COC2=O
70_7	CC1CCC2(C)C(=CC=CC2C1(C)CCc1ccoc1)C(=O)O
70_8	CC1=C(CCc2ccoc2)C2(C)CCCC(C)(C)C2=C(C1=O)O
70_9	CC1=CC(=O)C2C(C)(C)CCCC2(C)C1/C=C/C1=CCOC1=O
70_10	CC12C(CCC(C2CC3O4)=CC3=C(C)C4=O)C(C)(C)C(CC1)=O
70_11	CC12C(CC=C3C2CC4C(C(C)C(O4)=O)C3=O)C5(C)C(C5)CC1
70_12	CC(C(CCC12C3CC(C(C2)=C)CC1=O)C3(C)C=C4O)(C)C4=O
70_13	CC12C(CC(C(C3)=C2CC4C3=C(C)C(O4)=O)=O)C(C)(C)CCC1
70_14	CC12C(CCC(C3=O)=C2C4C(C(C)=CO4)C3=O)C(C)(C)CCC1
90_1	CC1=C2C(CC3C(=CCC4C3(C)CCC5CC54C)C2=O)OC1=O
90_2	CC1=C2C(CC3=C(CCC4C3(C)CCC5CC54C)C2=O)OC1=O
90_3	CC12C(CCC(C3=O)=C2CC4C3=C(C)C(O4)=O)C5(C)C(C5)CC1
90_4	CC12C(CC=C(C3=O)C2CC4C3=C(C)C(O4)=O)C5(C)C(C5)CC1
90_5	CC12C(CCC(C3=O)(O)C2CC4C3=C(C)C(O4)=O)C5(C)C(C5)CC1
90_6	CC12C(CCC3=CC(C4CC32O)=C(C)C(O4)=O)C(C)(C)C(CC1)=O
90_7	CC1(C2)C(CCC(C1CC3O4)=CC3=C(C)C4=O)C(C)(C)C(O)C2=O
298_1	CC1(C2)C(CCC(C1CC3O4)=CC3=C(C)C4=O)C(C)(C)C(O)C2=O
298_2	CC12C(CCC3=CC(C4CC32O)=C(C)C(O4)=O)C(C)(C)C(CC1)=O
298_3	CC12C(CCC(C3=O)(O)C2CC4C3=C(C)C(O4)=O)C5(C)C(C5)CC1
838_1	CC1=C2C=C3CCC4C(C)(C)C(CCC4(C)C3(CC2OC1=O)O)O
838_2	CC12C(CC(O)C(C2CC3O4)=CC3=C(C)C4=O)C(C)(C)C(O)CC1
838_3	C=C1C2CCC(=O)C3(C)C(CC(C(=C2)C1=O)O)C(C)(C)CCC3O
838_4	O=C1C(C)=C2C=C3CCC4C(C)(C)C(O)CC(O)C4(C)C3CC2O1
