shared.name	CF_componentindex	CF_kingdom	CF_superclass	CF_class	CF_subclass	CF_directparent	CF_substituents	CF_kingdom_scores	CF_superclass_scores	CF_class_scores	CF_subclass_scores	CF_directparent_scores	CF_substituents_scores
2306	264	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	Diterpenoids;Phorbol esters;Tigliane and ingenane diterpenoids	Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Ketone;Monocarboxylic acid or derivatives;Organic oxide;Organic oxygen compound;Organooxygen compound;Tertiary alcohol	1	1	1	1	0.333	0.058;0.058;0.058;0.058;0.058;0.038;0.058;0.058;0.058;0.038
941	264	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	Diterpenoids;Phorbol esters;Tigliane and ingenane diterpenoids	Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Ketone;Monocarboxylic acid or derivatives;Organic oxide;Organic oxygen compound;Organooxygen compound;Tertiary alcohol	1	1	1	1	0.333	0.058;0.058;0.058;0.058;0.058;0.038;0.058;0.058;0.058;0.038
2303	267	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	Tigliane and ingenane diterpenoids	Alcohol;Aliphatic homopolycyclic compound;Carbonyl group;Carboxylic acid derivative;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organooxygen compound;Secondary alcohol;Tertiary alcohol	1	1	1	0.8	0.6	0.054;0.054;0.054;0.054;0.054;0.054;0.054;0.054;0.054;0.043
2737	267	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	Tigliane and ingenane diterpenoids	Alcohol;Aliphatic homopolycyclic compound;Carbonyl group;Carboxylic acid derivative;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organooxygen compound;Secondary alcohol;Tertiary alcohol	1	1	1	0.8	0.6	0.054;0.054;0.054;0.054;0.054;0.054;0.054;0.054;0.054;0.043
2507	267	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	Tigliane and ingenane diterpenoids	Alcohol;Aliphatic homopolycyclic compound;Carbonyl group;Carboxylic acid derivative;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organooxygen compound;Secondary alcohol;Tertiary alcohol	1	1	1	0.8	0.6	0.054;0.054;0.054;0.054;0.054;0.054;0.054;0.054;0.054;0.043
2094	267	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	Tigliane and ingenane diterpenoids	Alcohol;Aliphatic homopolycyclic compound;Carbonyl group;Carboxylic acid derivative;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organooxygen compound;Secondary alcohol;Tertiary alcohol	1	1	1	0.8	0.6	0.054;0.054;0.054;0.054;0.054;0.054;0.054;0.054;0.054;0.043
2353	267	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	Tigliane and ingenane diterpenoids	Alcohol;Aliphatic homopolycyclic compound;Carbonyl group;Carboxylic acid derivative;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organooxygen compound;Secondary alcohol;Tertiary alcohol	1	1	1	0.8	0.6	0.054;0.054;0.054;0.054;0.054;0.054;0.054;0.054;0.054;0.043
2111	267	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	Tigliane and ingenane diterpenoids	Alcohol;Aliphatic homopolycyclic compound;Carbonyl group;Carboxylic acid derivative;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organooxygen compound;Secondary alcohol;Tertiary alcohol	1	1	1	0.8	0.6	0.054;0.054;0.054;0.054;0.054;0.054;0.054;0.054;0.054;0.043
1875	267	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	Tigliane and ingenane diterpenoids	Alcohol;Aliphatic homopolycyclic compound;Carbonyl group;Carboxylic acid derivative;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organooxygen compound;Secondary alcohol;Tertiary alcohol	1	1	1	0.8	0.6	0.054;0.054;0.054;0.054;0.054;0.054;0.054;0.054;0.054;0.043
2092	267	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	Tigliane and ingenane diterpenoids	Alcohol;Aliphatic homopolycyclic compound;Carbonyl group;Carboxylic acid derivative;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organooxygen compound;Secondary alcohol;Tertiary alcohol	1	1	1	0.8	0.6	0.054;0.054;0.054;0.054;0.054;0.054;0.054;0.054;0.054;0.043
1675	269	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Aliphatic homopolycyclic compound;Carbonyl group;Hydrocarbon derivative;Hydroxysteroid;Organic oxide;Organic oxygen compound;Organooxygen compound;Steroid;Triterpenoid	1	1	1	1	1	0.054;0.054;0.054;0.054;0.054;0.054;0.054;0.054;0.054;0.054
2305	269	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Aliphatic homopolycyclic compound;Carbonyl group;Hydrocarbon derivative;Hydroxysteroid;Organic oxide;Organic oxygen compound;Organooxygen compound;Steroid;Triterpenoid	1	1	1	1	1	0.054;0.054;0.054;0.054;0.054;0.054;0.054;0.054;0.054;0.054
2546	269	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Aliphatic homopolycyclic compound;Carbonyl group;Hydrocarbon derivative;Hydroxysteroid;Organic oxide;Organic oxygen compound;Organooxygen compound;Steroid;Triterpenoid	1	1	1	1	1	0.054;0.054;0.054;0.054;0.054;0.054;0.054;0.054;0.054;0.054
1941	269	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Aliphatic homopolycyclic compound;Carbonyl group;Hydrocarbon derivative;Hydroxysteroid;Organic oxide;Organic oxygen compound;Organooxygen compound;Steroid;Triterpenoid	1	1	1	1	1	0.054;0.054;0.054;0.054;0.054;0.054;0.054;0.054;0.054;0.054
2215	290	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Cyclic alcohol;Hydrocarbon derivative;Monocarboxylic acid or derivatives;Organic oxide;Organic oxygen compound;Organooxygen compound;Polyol;Secondary alcohol;Tertiary alcohol;Triterpenoid	1	1	1	1	1	0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064
2457	290	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Cyclic alcohol;Hydrocarbon derivative;Monocarboxylic acid or derivatives;Organic oxide;Organic oxygen compound;Organooxygen compound;Polyol;Secondary alcohol;Tertiary alcohol;Triterpenoid	1	1	1	1	1	0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064
2454	290	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Cyclic alcohol;Hydrocarbon derivative;Monocarboxylic acid or derivatives;Organic oxide;Organic oxygen compound;Organooxygen compound;Polyol;Secondary alcohol;Tertiary alcohol;Triterpenoid	1	1	1	1	1	0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064
3281	291	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Aliphatic homopolycyclic compound;Carbonyl group;Cyclic alcohol;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organooxygen compound;Secondary alcohol;Triterpenoid	1	1	1	1	1	0.058;0.058;0.058;0.058;0.058;0.058;0.058;0.058;0.058;0.058
2456	291	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Aliphatic homopolycyclic compound;Carbonyl group;Cyclic alcohol;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organooxygen compound;Secondary alcohol;Triterpenoid	1	1	1	1	1	0.058;0.058;0.058;0.058;0.058;0.058;0.058;0.058;0.058;0.058
2191	291	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Aliphatic homopolycyclic compound;Carbonyl group;Cyclic alcohol;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organooxygen compound;Secondary alcohol;Triterpenoid	1	1	1	1	1	0.058;0.058;0.058;0.058;0.058;0.058;0.058;0.058;0.058;0.058
